Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9800,0.9899,1.0000,0.9800
Esquadrias,0.8400,0.8217,0.8043,0.8400
Piso,0.7800,0.7614,0.8421,0.7800
Forro,0.9200,0.9008,0.8824,0.9200
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.5200,0.6842,1.0000,0.5200
Revestimento Interno,0.2800,0.3921,0.7187,0.2800
Acabamento Interno,0.8400,0.8400,0.8400,0.8400
Revestimento Externo,0.1800,0.2367,0.8571,0.1800
Acabamento Externo,0.6200,0.7285,0.8830,0.6200
Cobertura,0.9600,0.9796,1.0000,0.9600
MÉDIA GERAL (Categorias),0.7200,0.7577,0.8934,0.7200
