Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,0.9800,0.9899,1.0000,0.9800
Esquadrias,0.7800,0.7888,0.7977,0.7800
Piso,0.7600,0.7362,0.8320,0.7600
Forro,0.8600,0.8827,0.9093,0.8600
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.7400,0.8506,1.0000,0.7400
Revestimento Interno,0.2800,0.3504,0.6178,0.2800
Acabamento Interno,0.8000,0.8144,0.8306,0.8000
Revestimento Externo,0.2000,0.2985,0.6471,0.2000
Acabamento Externo,0.5600,0.6836,0.8773,0.5600
Cobertura,0.9600,0.9796,1.0000,0.9600
MÉDIA GERAL (Categorias),0.7200,0.7613,0.8647,0.7200
