Categoria,Accuracy,F1-Score (Weighted),Precision (Weighted),Recall (Weighted)
Estrutura,1.0000,1.0000,1.0000,1.0000
Esquadrias,0.9000,0.8526,0.8100,0.9000
Piso,0.1200,0.0257,0.0144,0.1200
Forro,0.0000,0.0000,0.0000,0.0000
Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
Revestimento Interno,0.8200,0.7389,0.6724,0.8200
Acabamento Interno,0.9000,0.8526,0.8100,0.9000
Revestimento Externo,0.1200,0.0257,0.0144,0.1200
Acabamento Externo,0.0000,0.0000,0.0000,0.0000
Cobertura,1.0000,1.0000,1.0000,1.0000
MÉDIA GERAL (Categorias),0.5327,0.4996,0.4837,0.5327
