Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
gemini-2.0-flash-lite,0.0,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.0-flash-lite,0.0,Esquadrias,0.8400,0.8217,0.8043,0.8400
gemini-2.0-flash-lite,0.0,Piso,0.6400,0.6349,0.7083,0.6400
gemini-2.0-flash-lite,0.0,Forro,0.4400,0.5994,0.9400,0.4400
gemini-2.0-flash-lite,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash-lite,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,0.0,Revestimento Interno,0.5800,0.6177,0.6606,0.5800
gemini-2.0-flash-lite,0.0,Acabamento Interno,0.7400,0.7655,0.7929,0.7400
gemini-2.0-flash-lite,0.0,Revestimento Externo,0.7000,0.7408,0.7940,0.7000
gemini-2.0-flash-lite,0.0,Acabamento Externo,0.0400,0.0767,0.9400,0.0400
gemini-2.0-flash-lite,0.0,Cobertura,0.9200,0.9583,1.0000,0.9200
gemini-2.0-flash-lite,0.5,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.0-flash-lite,0.5,Esquadrias,0.8400,0.8308,0.8217,0.8400
gemini-2.0-flash-lite,0.5,Piso,0.6600,0.6474,0.7368,0.6600
gemini-2.0-flash-lite,0.5,Forro,0.3800,0.5412,0.9400,0.3800
gemini-2.0-flash-lite,0.5,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash-lite,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,0.5,Revestimento Interno,0.5800,0.6097,0.6427,0.5800
gemini-2.0-flash-lite,0.5,Acabamento Interno,0.7200,0.7535,0.7902,0.7200
gemini-2.0-flash-lite,0.5,Revestimento Externo,0.6800,0.7302,0.7947,0.6800
gemini-2.0-flash-lite,0.5,Acabamento Externo,0.0200,0.0392,0.9400,0.0200
gemini-2.0-flash-lite,0.5,Cobertura,0.9200,0.9583,1.0000,0.9200
gemini-2.0-flash-lite,1.0,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.0-flash-lite,1.0,Esquadrias,0.8200,0.8200,0.8200,0.8200
gemini-2.0-flash-lite,1.0,Piso,0.6200,0.6169,0.6757,0.6200
gemini-2.0-flash-lite,1.0,Forro,0.3800,0.5412,0.9400,0.3800
gemini-2.0-flash-lite,1.0,Instalação Elétrica,0.9800,0.9899,1.0000,0.9800
gemini-2.0-flash-lite,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash-lite,1.0,Revestimento Interno,0.5600,0.5964,0.6378,0.5600
gemini-2.0-flash-lite,1.0,Acabamento Interno,0.7200,0.7535,0.7902,0.7200
gemini-2.0-flash-lite,1.0,Revestimento Externo,0.6000,0.6552,0.7274,0.6000
gemini-2.0-flash-lite,1.0,Acabamento Externo,0.0800,0.1475,0.9400,0.0800
gemini-2.0-flash-lite,1.0,Cobertura,0.9000,0.9474,1.0000,0.9000
gemini-2.0-flash,0.0,Estrutura,0.9400,0.9691,1.0000,0.9400
gemini-2.0-flash,0.0,Esquadrias,0.7800,0.7888,0.7977,0.7800
gemini-2.0-flash,0.0,Piso,0.8200,0.8207,0.8272,0.8200
gemini-2.0-flash,0.0,Forro,0.6600,0.7690,0.9550,0.6600
gemini-2.0-flash,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash,0.0,Revestimento Interno,0.8000,0.8044,0.8184,0.8000
gemini-2.0-flash,0.0,Acabamento Interno,0.7400,0.7655,0.7929,0.7400
gemini-2.0-flash,0.0,Revestimento Externo,0.2600,0.3199,0.7738,0.2600
gemini-2.0-flash,0.0,Acabamento Externo,0.3400,0.4917,0.8878,0.3400
gemini-2.0-flash,0.0,Cobertura,0.9400,0.9691,1.0000,0.9400
gemini-2.0-flash,0.5,Estrutura,0.9400,0.9691,1.0000,0.9400
gemini-2.0-flash,0.5,Esquadrias,0.7800,0.7888,0.7977,0.7800
gemini-2.0-flash,0.5,Piso,0.8200,0.8207,0.8272,0.8200
gemini-2.0-flash,0.5,Forro,0.6800,0.7833,0.9550,0.6800
gemini-2.0-flash,0.5,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
gemini-2.0-flash,0.5,Revestimento Interno,0.7800,0.7867,0.7960,0.7800
gemini-2.0-flash,0.5,Acabamento Interno,0.7000,0.7412,0.7875,0.7000
gemini-2.0-flash,0.5,Revestimento Externo,0.2200,0.2619,0.7510,0.2200
gemini-2.0-flash,0.5,Acabamento Externo,0.3200,0.4628,0.8356,0.3200
gemini-2.0-flash,0.5,Cobertura,0.9400,0.9691,1.0000,0.9400
gemini-2.0-flash,1.0,Estrutura,0.9200,0.9583,1.0000,0.9200
gemini-2.0-flash,1.0,Esquadrias,0.7800,0.7888,0.7977,0.7800
gemini-2.0-flash,1.0,Piso,0.8200,0.8207,0.8272,0.8200
gemini-2.0-flash,1.0,Forro,0.6400,0.7471,0.9268,0.6400
gemini-2.0-flash,1.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.0-flash,1.0,Instalação Sanitária,0.0200,0.0392,1.0000,0.0200
gemini-2.0-flash,1.0,Revestimento Interno,0.7400,0.7189,0.6998,0.7400
gemini-2.0-flash,1.0,Acabamento Interno,0.7000,0.7412,0.7875,0.7000
gemini-2.0-flash,1.0,Revestimento Externo,0.1800,0.2269,0.7329,0.1800
gemini-2.0-flash,1.0,Acabamento Externo,0.2600,0.3942,0.8147,0.2600
gemini-2.0-flash,1.0,Cobertura,0.9400,0.9691,1.0000,0.9400
gemini-2.5-flash,0.0,Estrutura,0.9600,0.9796,1.0000,0.9600
gemini-2.5-flash,0.0,Esquadrias,0.7800,0.7888,0.7977,0.7800
gemini-2.5-flash,0.0,Piso,0.7400,0.7263,0.8277,0.7400
gemini-2.5-flash,0.0,Forro,0.9000,0.8905,0.8812,0.9000
gemini-2.5-flash,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.5-flash,0.0,Instalação Sanitária,0.5200,0.6842,1.0000,0.5200
gemini-2.5-flash,0.0,Revestimento Interno,0.2800,0.3880,0.7151,0.2800
gemini-2.5-flash,0.0,Acabamento Interno,0.8800,0.8800,0.8800,0.8800
gemini-2.5-flash,0.0,Revestimento Externo,0.2200,0.2902,0.7638,0.2200
gemini-2.5-flash,0.0,Acabamento Externo,0.7200,0.7962,0.8905,0.7200
gemini-2.5-flash,0.0,Cobertura,0.9400,0.9691,1.0000,0.9400
gemini-2.5-flash,0.5,Estrutura,0.9600,0.9796,1.0000,0.9600
gemini-2.5-flash,0.5,Esquadrias,0.7400,0.7655,0.7929,0.7400
gemini-2.5-flash,0.5,Piso,0.7200,0.7002,0.8180,0.7200
gemini-2.5-flash,0.5,Forro,0.9000,0.8905,0.8812,0.9000
gemini-2.5-flash,0.5,Instalação Elétrica,0.9800,0.9899,1.0000,0.9800
gemini-2.5-flash,0.5,Instalação Sanitária,0.5400,0.7013,1.0000,0.5400
gemini-2.5-flash,0.5,Revestimento Interno,0.3000,0.4025,0.6793,0.3000
gemini-2.5-flash,0.5,Acabamento Interno,0.8000,0.8177,0.8363,0.8000
gemini-2.5-flash,0.5,Revestimento Externo,0.3200,0.4331,0.8657,0.3200
gemini-2.5-flash,0.5,Acabamento Externo,0.6000,0.7139,0.8812,0.6000
gemini-2.5-flash,0.5,Cobertura,0.9400,0.9691,1.0000,0.9400
gemini-2.5-flash,1.0,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.5-flash,1.0,Esquadrias,0.8400,0.8217,0.8043,0.8400
gemini-2.5-flash,1.0,Piso,0.7800,0.7614,0.8421,0.7800
gemini-2.5-flash,1.0,Forro,0.9200,0.9008,0.8824,0.9200
gemini-2.5-flash,1.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.5-flash,1.0,Instalação Sanitária,0.5200,0.6842,1.0000,0.5200
gemini-2.5-flash,1.0,Revestimento Interno,0.2800,0.3921,0.7187,0.2800
gemini-2.5-flash,1.0,Acabamento Interno,0.8400,0.8400,0.8400,0.8400
gemini-2.5-flash,1.0,Revestimento Externo,0.1800,0.2367,0.8571,0.1800
gemini-2.5-flash,1.0,Acabamento Externo,0.6200,0.7285,0.8830,0.6200
gemini-2.5-flash,1.0,Cobertura,0.9600,0.9796,1.0000,0.9600
gemini-2.5-pro,0.0,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.5-pro,0.0,Esquadrias,0.8800,0.8516,0.8250,0.8800
gemini-2.5-pro,0.0,Piso,0.7600,0.7362,0.8320,0.7600
gemini-2.5-pro,0.0,Forro,0.8200,0.8470,0.8759,0.8200
gemini-2.5-pro,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.5-pro,0.0,Instalação Sanitária,0.7800,0.8764,1.0000,0.7800
gemini-2.5-pro,0.0,Revestimento Interno,0.3200,0.4128,0.6488,0.3200
gemini-2.5-pro,0.0,Acabamento Interno,0.7600,0.7773,0.7953,0.7600
gemini-2.5-pro,0.0,Revestimento Externo,0.2200,0.3153,0.7113,0.2200
gemini-2.5-pro,0.0,Acabamento Externo,0.6000,0.7139,0.8812,0.6000
gemini-2.5-pro,0.0,Cobertura,0.9600,0.9796,1.0000,0.9600
gemini-2.5-pro,0.5,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.5-pro,0.5,Esquadrias,0.7800,0.8069,0.8357,0.7800
gemini-2.5-pro,0.5,Piso,0.7600,0.7362,0.8320,0.7600
gemini-2.5-pro,0.5,Forro,0.8400,0.8745,0.9304,0.8400
gemini-2.5-pro,0.5,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.5-pro,0.5,Instalação Sanitária,0.7200,0.8372,1.0000,0.7200
gemini-2.5-pro,0.5,Revestimento Interno,0.3000,0.3926,0.7641,0.3000
gemini-2.5-pro,0.5,Acabamento Interno,0.7800,0.8029,0.8286,0.7800
gemini-2.5-pro,0.5,Revestimento Externo,0.2600,0.3680,0.7374,0.2600
gemini-2.5-pro,0.5,Acabamento Externo,0.6000,0.7214,0.9187,0.6000
gemini-2.5-pro,0.5,Cobertura,0.9000,0.9474,1.0000,0.9000
gemini-2.5-pro,1.0,Estrutura,0.9800,0.9899,1.0000,0.9800
gemini-2.5-pro,1.0,Esquadrias,0.7800,0.7888,0.7977,0.7800
gemini-2.5-pro,1.0,Piso,0.7600,0.7362,0.8320,0.7600
gemini-2.5-pro,1.0,Forro,0.8600,0.8827,0.9093,0.8600
gemini-2.5-pro,1.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemini-2.5-pro,1.0,Instalação Sanitária,0.7400,0.8506,1.0000,0.7400
gemini-2.5-pro,1.0,Revestimento Interno,0.2800,0.3504,0.6178,0.2800
gemini-2.5-pro,1.0,Acabamento Interno,0.8000,0.8144,0.8306,0.8000
gemini-2.5-pro,1.0,Revestimento Externo,0.2000,0.2985,0.6471,0.2000
